709673.664,4086056.774,494.219,430.547,1
709673.488,4086059.403,485.859,449.883,1
709673.320,4086062.025,481.875,452.070,1
709673.282,4086064.593,488.516,463.359,1
709673.417,4086067.032,494.180,471.406,1
709673.613,4086069.392,477.578,432.773,1
709673.591,4086071.710,469.531,432.734,1
709673.418,4086074.094,485.078,427.227,1
709673.354,4086076.629,474.102,442.344,1
709673.290,4086079.161,482.695,446.211,1
709673.226,4086081.698,466.172,448.047,1
709673.204,4086084.218,488.320,458.867,1
709673.141,4086086.724,496.797,482.930,1
709672.814,4086089.252,491.133,476.406,1
709672.377,4086091.793,487.109,447.383,1
709672.118,4086094.370,492.266,457.852,1
709672.000,4086096.995,492.383,467.578,1
709671.943,4086099.675,492.852,478.906,1
709671.920,4086102.351,509.219,488.281,1
709671.849,4086104.977,510.742,498.477,1
709671.749,4086107.615,528.789,500.039,1
709671.639,4086110.243,510.313,501.484,1
709671.549,4086112.840,509.414,495.703,1
709671.537,4086115.413,514.453,475.273,1
709671.461,4086117.868,526.523,516.641,1
709671.282,4086120.239,507.500,511.641,1
709671.135,4086122.538,496.367,443.242,1
709671.060,4086124.822,471.563,423.125,1
709670.972,4086127.214,475.742,442.969,1
709670.856,4086129.584,479.688,455.742,1
709670.765,4086131.980,519.805,510.938,1
709670.699,4086134.463,520.664,518.633,1
709670.613,4086137.018,500.195,460.977,1
709670.445,4086139.631,476.133,464.219,1
709670.291,4086142.170,487.344,458.945,1
709670.317,4086144.586,489.023,462.852,1
709670.415,4086146.927,497.852,462.305,1
709670.416,4086149.292,497.227,493.398,1
709670.143,4086151.730,498.398,476.406,1
709669.559,4086154.235,474.141,451.289,1
709668.975,4086156.770,474.141,460.508,1
709668.582,4086159.270,473.555,459.102,1
709668.617,4086161.668,464.141,448.555,1
709668.712,4086164.191,465.664,443.555,1
709668.808,4086166.757,464.023,431.055,1
709668.835,4086169.319,469.453,455.781,1
709668.818,4086171.873,469.531,450.391,1
709668.686,4086174.435,443.984,409.375,1
709668.472,4086176.999,425.156,405.195,1
709668.222,4086179.557,386.289,323.438,1
709667.985,4086182.168,381.602,320.859,1
709667.879,4086184.725,408.477,363.672,1
709667.900,4086187.322,430.977,393.164,1
709667.972,4086189.977,427.422,434.141,1
709668.030,4086192.574,440.117,411.797,1
709667.972,4086195.114,430.859,406.289,1
709667.926,4086197.663,445.898,417.852,1
709667.869,4086200.186,459.180,410.586,1
709667.778,4086202.694,471.680,429.727,1
709667.757,4086205.145,474.258,439.766,1
709667.690,4086207.638,480.977,450.859,1
709667.575,4086210.137,481.328,449.844,1
709667.467,4086212.561,468.008,437.227,1
709667.440,4086215.027,461.094,430.547,1
709667.450,4086217.590,413.086,354.414,1
709667.483,4086220.219,386.992,320.000,1
709667.454,4086222.790,434.297,349.805,1
709667.248,4086225.370,487.070,407.070,1
709666.928,4086228.040,473.281,416.758,1
709666.614,4086230.653,486.953,443.164,1
709666.266,4086233.231,478.477,422.813,1
709666.052,4086235.809,461.094,374.922,1
709666.055,4086238.415,384.531,297.656,1
709665.944,4086241.156,341.875,263.711,1
709665.709,4086243.824,359.688,285.195,1
709665.497,4086246.321,391.875,320.586,1
709665.259,4086248.711,388.672,335.781,1
709665.098,4086251.113,393.984,342.383,1
709664.956,4086253.527,389.102,343.906,1
709664.839,4086255.927,375.742,331.016,1
709664.770,4086258.344,345.078,287.891,1
709664.682,4086260.745,314.023,252.578,1
709664.709,4086263.091,309.219,249.063,1
709664.672,4086265.502,318.164,265.195,1
709664.510,4086267.956,310.586,270.273,1
709664.503,4086270.393,305.547,265.586,1
709664.522,4086272.803,286.953,238.164,1
709664.319,4086275.105,266.875,220.430,1
709664.273,4086277.475,249.375,199.922,1
709664.563,4086279.720,230.352,180.039,1
709664.739,4086281.963,218.945,167.188,1
709664.721,4086284.261,217.305,162.383,1
709664.539,4086286.644,221.875,171.445,1
709664.320,4086289.099,220.938,173.086,1
709664.121,4086291.413,227.383,176.328,1
709663.920,4086293.663,236.094,189.688,1
709663.816,4086295.981,242.617,197.813,1
709663.676,4086298.292,241.445,197.188,1
709663.540,4086300.643,221.641,177.266,1
709663.480,4086303.025,198.789,157.656,1
709663.436,4086305.426,198.438,155.156,1
709663.435,4086307.710,207.109,165.820,1
709663.334,4086309.898,208.438,163.633,1
709663.188,4086312.174,195.898,152.109,1
709663.110,4086314.432,191.563,145.977,1
709662.875,4086316.612,191.758,144.297,1
709662.618,4086318.769,198.125,151.680,1
709662.449,4086320.962,200.977,155.625,1
709662.402,4086323.220,196.406,148.203,1
709662.442,4086325.325,206.328,148.984,1
709662.477,4086327.532,219.805,167.578,1
709662.515,4086329.738,222.305,183.555,1
709662.446,4086331.905,220.703,183.398,1
709662.456,4086334.128,225.234,182.305,1
709662.549,4086336.346,222.930,178.789,1
709662.444,4086338.536,243.047,186.094,1
709662.104,4086340.756,276.523,231.094,1
709661.822,4086342.884,299.102,246.094,1
709661.742,4086345.247,306.289,282.695,1
709661.585,4086347.615,300.352,262.266,1
709661.348,4086350.009,292.773,245.547,1
709661.086,4086352.281,301.055,270.781,1
709660.789,4086354.231,288.672,258.945,1
709660.560,4086356.238,275.273,227.930,1
709660.425,4086357.922,254.023,199.219,1
709633.507,4086345.072,314.766,262.227,2
709633.265,4086343.456,305.508,253.281,2
709633.176,4086341.765,277.656,239.141,2
709633.176,4086340.085,257.500,216.367,2
709633.236,4086339.064,256.211,208.516,2
709633.268,4086338.934,256.992,206.992,2
709633.254,4086338.972,257.227,207.031,2
709633.251,4086338.817,256.445,207.305,2
709633.313,4086338.061,253.594,200.625,2
709633.495,4086336.723,245.820,191.680,2
709633.678,4086334.978,233.828,180.547,2
709633.834,4086333.004,215.469,169.063,2
709634.068,4086330.965,204.766,158.711,2
709634.234,4086329.009,199.023,154.883,2
709634.226,4086327.093,206.211,161.367,2
709634.245,4086324.883,218.398,166.484,2
709634.307,4086322.800,234.688,172.656,2
709634.379,4086320.783,246.914,184.609,2
709634.585,4086318.965,252.070,192.109,2
709634.841,4086317.294,242.148,180.781,2
709635.054,4086315.336,225.078,168.320,2
709635.137,4086313.485,204.336,153.906,2
709635.100,4086311.599,191.758,142.656,2
709635.030,4086309.764,181.836,135.508,2
709635.104,4086308.075,175.664,129.219,2
709635.307,4086306.109,168.008,126.133,2
709635.423,4086304.140,167.813,127.148,2
709635.618,4086302.076,172.773,129.180,2
709635.882,4086299.955,175.781,134.570,2
709635.985,4086297.843,179.414,136.523,2
709636.016,4086295.743,179.844,139.141,2
709636.016,4086293.678,179.727,138.750,2
709635.948,4086291.633,177.695,135.195,2
709635.790,4086289.604,181.328,136.602,2
